100	0.0148	0.0131
200	0.05932	0.05872
300	0.15847	0.14491
400	0.27638	0.27368
500	0.44442	0.44213
600	0.50795	0.50798
700	0.69503	0.68595
800	0.87619	0.88504
900	1.10725	1.10438
1000	1.34787	1.35692
